type,modelPath,texturePath
Tree,Models/tree.obj,Models/Farm_texture.png
House,Models/house.obj,Models/Farm_texture.png
Field,Models/field.obj,Models/Farm_texture.png
Fance,Models/fance.obj,Models/Farm_texture.png
Fance_Curved,Models/fance_curved.obj,Models/Farm_texture.png
Big_Tree,Models/big_tree.obj,Models/Farm_texture.png
Boat,Models/boat.obj,Models/boat.png
Ground,Models/ground.obj,Models/Farm_texture.png
Thick_Ground,Models/thick_ground.obj,Models/Farm_texture.png
Water,Models/water.obj,Models/Farm_texture.png
Sign1,Models/carrot_seed.obj,Models/Farm_texture.png
Sign2,Models/cabbage_seed.obj,Models/Farm_texture.png
Carrot1,Models/carrot_sprout.obj,Models/Farm_texture.png
Carrot2,Models/carrot_mid.obj,Models/Farm_texture.png
Carrot3,Models/carrots.obj,Models/Farm_texture.png
Cabbage1,Models/cabbage_sprout.obj,Models/Farm_texture.png
Cabbage2,Models/cabbage_mid.obj,Models/Farm_texture.png
Cabbage3,Models/cabbage.obj,Models/Farm_texture.png
